,Title,Price
0,گوشی موبايل سامسونگ مدل گلکسی A32 4G دو سیم کارت - ظرفیت 128 گیگابایت - رم 6 گیگابایت,12100000
1,گوشی موبايل سامسونگ مدل Galaxy A03 Core ظرفیت 32 گیگابایت - رم 2 گیگابایت,3103000
2,گوشی موبایل سامسونگ مدلGalaxy M13 ظرفیت 64 گیگابایت - رم 4 گیگابایت,5319000
3,گوشی موبايل سامسونگ مدل Galaxy S21 FE 5G ظرفیت 256 گیگابایت - رم 8 گیگابایت,18207000
4,گوشی موبايل سامسونگ مدل گلکسی A53 5G ظرفیت 256 گیگابایت - رم 8 گیگابایت,15806000
5,گوشی موبایل سامسونگ مدل Galaxy A14 ظرفیت 64 گیگابایت رم 4 گیگابایت,5189000
6,گوشی موبايل سامسونگ گلکسی M32 مدل SM-M325F/DS دو سیم کارت - ظرفیت 128 گیگابایت - رم 6 گیگابایت,8299000
7,گوشی موبایل سامسونگ مدل Galaxy A14 ظرفیت 64 گیگابایت رم 4 گیگابایت - ویتنام,5379000
8,گوشی موبايل سامسونگ مدل Galaxy A03s ظرفیت 32 گیگابایت - رم 3 گیگابایت,4028000
9,گوشی موبايل سامسونگ مدل Galaxy A23 ظرفیت 128 گیگابایت - رم 6 گیگابایت,9150000
10,گوشی موبايل سامسونگ گلکسی S21 FE 5G ظرفیت 256 گیگابایت رم 8 گیگابایت - ویتنام,19059000
11,گوشی موبايل سامسونگ مدل گلکسی A04 ظرفیت 32 گیگابایت رم 3 گیگابایت,3699000
12,گوشی موبايل سامسونگ گلکسی A04 ظرفیت 64 گیگابایت رم 4 گیگابایت,4399000
13,گوشی موبايل سامسونگ مدل گلکسی A53 5G ظرفیت 128 گیگابایت - رم 8 گیگابایت,13999000
14,گوشی موبایل سامسونگ گلکسی S23 Ultra 5G ظرفیت 256 گیگابایت رم 12 گیگابایت - ویتنام,48839000
15,گوشی موبايل سامسونگ مدل Galaxy A33 5G ظرفیت 128 گیگابایت - رم 6 گیگابایت,10699000
16,گوشی موبايل سامسونگ مدل Galaxy A33 5G ظرفیت 128 گیگابایت - رم 8 گیگابایت,12079000
17,گوشی موبايل سامسونگ مدل Galaxy A04e ظرفیت 32 گیگابایت رم 3 گیگابایت,3388000
18,گوشی موبايل سامسونگ مدل Galaxy F13 ظرفیت 64 گیگابایت - رم 4 گیگابایت,5586000
19,گوشی موبایل سامسونگ مدل Galaxy A14 ظرفیت 128 گیگابایت رم 4 گیگابایت,6059000
20,گوشی موبايل سامسونگ گلکسی M32 مدل SM-M325F/DS دو سیم کارت - ظرفیت 64 گیگابایت - رم 4 گیگابایت,6699000
21,گوشی موبايل سامسونگ گلکسی A34 5G (SM-A346E/DSN) ظرفیت 128 گیگابایت رم 8 گیگابایت - ویتنام,12249000
22,گوشی موبایل سامسونگ Galaxy A13 (SM-A135F/DS) ظرفیت 128 گیگابایت رم 4 گیگابایت - ویتنام,7399000
23,گوشی موبایل سامسونگ مدل Galaxy M13 ظرفیت 128 گیگابایت - رم 6 گیگابایت,6849000
24,گوشی موبايل سامسونگ مدل Galaxy M33 5G SM-M۳36BU/DS ظرفیت 128 گیگابایت - رم 6 گیگابایت,7999000
25,گوشی موبايل سامسونگ گلکسی A54 5G ظرفیت 256 گیگابایت رم 8 گیگابایت - ویتنام,17059000
26,گوشی موبايل سامسونگ مدل گلکسی A03 ظرفیت 64 گیگابایت - رم 4 گیگابایت,4199000
27,گوشی موبايل سامسونگ مدل Galaxy A04e ظرفیت 64 گیگابایت رم 3 گیگابایت,3595000
28,گوشی موبايل سامسونگ گلکسی A24 4G ظرفیت 128 گیگابایت رم 6 گیگابایت - ویتنام,8449000
29,گوشی موبايل سامسونگ مدل Galaxy A23 ظرفیت 64 گیگابایت - رم 4 گیگابایت,7262000
30,گوشی موبايل سامسونگ گلکسی A24 4G ظرفیت 128 گیگابایت رم 6 گیگابایت,8058000
31,گوشی موبايل سامسونگ مدل گلکسی S21 FE 5G ظرفیت 128 گیگابایت - رم 8 گیگبایت,18280000
32,گوشی موبایل سامسونگ مدل Galaxy A14 ظرفیت 128 گیگابایت رم 6 گیگابایت - ویتنام,7049000
33,گوشی موبايل سامسونگ گلکسی A54 5G (SM-A546E/DS) ظرفیت 128 گیگابایت رم 8 گیگابایت - ویتنام,15995000
34,گوشی موبایل سامسونگ مدل Galaxy A14 (SM-A145F/DS) ظرفیت 128 گیگابایت رم 4 گیگابایت - ویتنام,6225000
35,گوشی موبايل سامسونگ گلکسی A54 5G ظرفیت 256 گیگابایت رم 8 گیگابایت,16329000
36,گوشی موبايل سامسونگ گلکسی A34 5G ظرفیت 128 گیگابایت رم 8 گیگابایت,11899000
37,گوشی موبایل سامسونگ مدل Sm_B315E دو سیم کارت,959900
38,گوشی موبايل سامسونگ Galaxy A24 4G ظرفیت 128 گیگابایت رم 8 گیگابایت,9179000
39,گوشی موبايل سامسونگ گلکسی A04s ظرفیت 32 گیگابایت رم 3 گیگابایت - ویتنام,4529000
40,گوشی موبایل سامسونگ مدل Galaxy A13 (SM-A137) ظرفیت 64 گیگابایت رم 4 گیگابایت - ویتنام,7300000
41,گوشی موبايل سامسونگ گلکسی A24 4G ظرفیت 128 گیگابایت رم 4 گیگابایت - ویتنام,7570000
42,گوشی موبايل سامسونگ مدل گلکسی A04s ظرفیت 32 گیگابایت - رم 3 گیگابایت,4429000
43,گوشی موبايل سامسونگ گلکسی A24 4G ظرفیت 128 گیگابایت رم 4 گیگابایت,7085000
44,گوشی موبایل سامسونگ گلکسی S23 Ultra 5G ظرفیت 512 گیگابایت رم 12 گیگابایت - ویتنام,57099000
45,گوشی موبايل سامسونگ گلکسی A32 4G دو سیم کارت - ظرفیت 128 گیگابایت - رم 6 گیگابایت - ویتنام,10499000
46,گوشی موبايل سامسونگ گلکسی A54 5G ظرفیت 128 گیگابایت رم 8 گیگابایت,15419000
47,گوشی موبایل سامسونگ مدل Galaxy A14 ظرفیت 128 گیگابایت رم 4 گیگابایت - ویتنام,6268000
48,گوشی موبایل سامسونگ Galaxy A13 ظرفیت 64 گیگابایت رم 4 گیگابایت - ویتنام,6949000
49,گوشی موبايل سامسونگ Galaxy A34 5G ظرفیت 256 گیگابایت رم 8 گیگابایت,12895000
50,گوشی موبايل سامسونگ مدل گلکسی A53 5G ظرفیت 128 گیگابایت - رم 6 گیگابایت,13399000
51,گوشی موبايل سامسونگ گلکسی A04s ظرفیت 128 گیگابایت رم 4 گیگابایت - ویتنام,5669000
52,گوشی موبايل سامسونگ مدل Galaxy F13 ظرفیت 128 گیگابایت - رم 4 گیگابایت,6609000
53,گوشی موبايل سامسونگ گلکسی A04s ظرفیت 128 گیگابایت رم 4 گیگابایت,5749000
54,گوشی موبايل سامسونگ مدل Galaxy M53 5G ظرفیت 128 گیگابایت رم 8 گیگابایت,13750000
55,گوشی موبایل سامسونگ مدل Galaxy A13 (SM-A137) ظرفیت 128 گیگابایت رم 4 گیگابایت - ویتنام,7830000
56,گوشی موبایل سامسونگ مدل Galaxy A14 ظرفیت 128 گیگابایت رم 4 گیگابایت,6337000
57,گوشی موبايل سامسونگ گلکسی Z Fold 4 5G ظرفیت 256 گیگابایت رم 12 گیگابایت - ویتنام,64799000
58,گوشی موبايل سامسونگ مدل گلکسی S22 5G ظرفیت 256 گیگابایت رم 8 گیگابایت - ویتنام,32999000
59,گوشی موبايل سامسونگ گلکسی Z Fold 4 5G ظرفیت 512 گیگابایت رم 12 گیگابایت - ویتنام,70700000
